feature,feature_family,p75,p99,max,remove_for_audit,remove_reason
MI_dir_L5_weight,MI_dir_weight,147.93582967374766,211.1704170730335,431.9373943676752,False,
MI_dir_L5_mean,MI_dir_mean,190.04974941600094,540.6813675805892,1452.096216,False,
MI_dir_L5_variance,MI_dir_variance,5377.002560381006,63446.335195148065,471230.1587,False,
MI_dir_L3_weight,MI_dir_weight,238.8201412531916,323.457971633167,558.6770072255539,False,
MI_dir_L3_mean,MI_dir_mean,220.59814834265455,513.3487578712326,1449.797812,False,
MI_dir_L3_variance,MI_dir_variance,10237.683365663737,63528.5709013742,467298.0572,False,
MI_dir_L1_weight,MI_dir_weight,666.5566480210503,897.6026624993185,1202.0433985845652,False,
MI_dir_L1_mean,MI_dir_mean,271.80771914218036,464.7950823710604,1432.270682,False,
MI_dir_L1_variance,MI_dir_variance,16025.663617141712,63045.88996382647,455354.9111,False,
MI_dir_L0.1_weight,MI_dir_weight,6320.036550371564,7856.889324060986,8946.924355152834,False,
MI_dir_L0.1_mean,MI_dir_mean,282.203440925,440.5399008768968,1400.613706,False,
MI_dir_L0.1_variance,MI_dir_variance,25294.703335,63471.23975914817,444384.3556,False,
MI_dir_L0.01_weight,MI_dir_weight,26255.369801855926,59208.1287396826,62774.98671709555,False,
MI_dir_L0.01_mean,MI_dir_mean,235.58921744999998,439.11912709028917,1382.359903,False,
MI_dir_L0.01_variance,MI_dir_variance,31897.37595,63378.63651897754,454103.6288,False,
H_L5_weight,H_weight,147.93582967374766,211.1704170730335,431.9373943676752,False,
H_L5_mean,H_mean,190.04974941600094,540.6813675805892,1452.096216,False,
H_L5_variance,H_variance,5377.002560381006,63446.335195148065,471230.1587,False,
H_L3_weight,H_weight,238.8201412531916,323.457971633167,558.6770072255539,False,
H_L3_mean,H_mean,220.59814834265455,513.3487578712326,1449.797812,False,
H_L3_variance,H_variance,10237.683365663737,63528.5709013742,467298.0572,False,
H_L1_weight,H_weight,666.5566480210503,897.6026624993185,1202.0433985845652,False,
H_L1_mean,H_mean,271.80771914218036,464.7950823710604,1432.270682,False,
H_L1_variance,H_variance,16025.663617141712,63045.88996382647,455354.9111,False,
H_L0.1_weight,H_weight,6320.036550371564,7856.889324060986,8946.924355152834,False,
H_L0.1_mean,H_mean,282.203440925,440.5399008768968,1400.613706,False,
H_L0.1_variance,H_variance,25294.703335,63471.23975914817,444384.3556,False,
H_L0.01_weight,H_weight,26255.369801855926,59208.1287396826,62774.98671709555,False,
H_L0.01_mean,H_mean,235.58921744999998,439.1182196640375,1382.359903,False,
H_L0.01_variance,H_variance,31897.37595,63378.63651897754,454103.6288,False,
HH_L5_weight,HH_weight,102.57332413950746,198.54840627607365,303.45204924073187,False,
HH_L5_mean,HH_mean,74.00000000000003,566.0000000000001,1469.996531,False,
HH_L5_std,HH_std,1.0789593218788871e-05,65.24538236074687,678.2370437,False,
HH_L5_magnitude,HH_magnitude,95.26804291051648,566.0000000000002,1469.996531,False,
HH_L5_radius,HH_radius,1.3825235571691618e-10,19353.032477000197,620067.472,False,
HH_L5_covariance,HH_covariance,0.0,1.205546045696494e-15,187376.9418,False,
HH_L5_pcc,HH_pcc,0.0,7.708056434285924e-10,1.946260189,False,
HH_L3_weight,HH_weight,164.3028211676247,313.22264195329416,429.4566868928391,False,
HH_L3_mean,HH_mean,74.00000000000003,566.0000000000001,1469.413447,False,
HH_L3_std,HH_std,5.1179534397120426e-05,72.30529626575478,684.4900089,False,
HH_L3_magnitude,HH_magnitude,95.26804291051646,566.0000000000001,1469.413447,False,
HH_L3_radius,HH_radius,1.2285454566208873e-08,22570.759676800048,616178.5644,False,
HH_L3_covariance,HH_covariance,0.0,4.9105000000004654e-12,228779.682,False,
HH_L3_pcc,HH_pcc,0.0,1.16e-07,2.139991052,False,
HH_L1_weight,HH_weight,468.7327013371579,881.0297495769134,1044.6123716154582,False,
HH_L1_mean,HH_mean,74.0,565.9999999774502,1444.182633,False,
HH_L1_std,HH_std,0.052488144548034396,134.74713065400124,684.0947148,False,
HH_L1_magnitude,HH_magnitude,95.26804290428608,565.9999999980064,1455.8439869470255,False,
HH_L1_radius,HH_radius,0.0040764163131825,24353.93932580001,601119.6079,False,
HH_L1_covariance,HH_covariance,0.0,0.03628842657000344,297279.4688,False,
HH_L1_pcc,HH_pcc,0.0,0.010687104350000006,2.364591068,False,
HH_L0.1_weight,HH_weight,4456.948299454421,7819.090668061822,7944.986856476482,False,
HH_L0.1_mean,HH_mean,74.0,565.9716514198259,1436.19474,False,
HH_L0.1_std,HH_std,0.22996544885538223,149.78918687,661.7600638,False,
HH_L0.1_magnitude,HH_magnitude,95.26746322186425,565.9794477345158,1437.711395,False,
HH_L0.1_radius,HH_radius,0.054698333710348324,35718.038387,518971.8191,False,
HH_L0.1_covariance,HH_covariance,0.0,81.68927620050032,338848.0947,False,
HH_L0.1_pcc,HH_pcc,0.0,0.2983957127500038,2.647535325,False,
HH_L0.01_weight,HH_weight,16445.96924292661,41388.722283140436,46950.41620950647,False,
HH_L0.01_mean,HH_mean,74.0,565.9570107930509,1435.153295,False,
HH_L0.01_std,HH_std,0.25927827635046863,171.62631295200032,670.0213251,False,
HH_L0.01_magnitude,HH_magnitude,95.26690627986505,565.9591856938843,1436.671225,False,
HH_L0.01_radius,HH_radius,0.06908291632248617,69497.36274130082,483573.5650083884,False,
HH_L0.01_covariance,HH_covariance,0.0,471.03595269200287,143034.69,False,
HH_L0.01_pcc,HH_pcc,0.0,0.41609164954000066,2.694498401,False,
HH_jit_L5_weight,HH_jit_weight,102.57332413950746,198.5484062760737,303.45204924073187,False,
HH_jit_L5_mean,HH_jit_mean,1505913555.0344892,1507659486.9927678,1534248980.0,True,excluded_family
HH_jit_L5_variance,HH_jit_variance,8.381583921345689e-05,68256464455800.63,5.88e+17,False,
HH_jit_L3_weight,HH_jit_weight,164.3028211676247,313.22264195329404,429.4566868928391,False,
HH_jit_L3_mean,HH_jit_mean,1505913555.0344892,1507659486.9927678,1534248980.0,True,excluded_family
HH_jit_L3_variance,HH_jit_variance,0.000154324642863275,4372654617241677.0,5.88e+17,False,
HH_jit_L1_weight,HH_jit_weight,468.7327013371579,881.029749576917,1044.6123716154582,False,
HH_jit_L1_mean,HH_jit_mean,1505913555.0344892,1507659486.9927678,1534248980.0,True,excluded_family
HH_jit_L1_variance,HH_jit_variance,3.2182712902795148,2.2343601138712048e+17,5.88e+17,False,
HH_jit_L0.1_weight,HH_jit_weight,4456.948299454421,7819.090668061993,7944.986856476624,False,
HH_jit_L0.1_mean,HH_jit_mean,1505913555.0344892,1507659486.9927678,1534248980.0,True,excluded_family
HH_jit_L0.1_variance,HH_jit_variance,6241918210462.916,5.6084013100079136e+17,5.88e+17,True,epoch_like_p75
HH_jit_L0.01_weight,HH_jit_weight,16445.969242926374,41388.72228313839,46950.41620950647,False,
HH_jit_L0.01_mean,HH_jit_mean,1505913555.0344892,1507659486.9927678,1534248980.0,True,excluded_family
HH_jit_L0.01_variance,HH_jit_variance,76498140475685.94,5.668820416785175e+17,5.88e+17,True,epoch_like_p75
HpHp_L5_weight,HpHp_weight,1.0,84.12980435169521,295.31379149441426,False,
HpHp_L5_mean,HpHp_mean,74.0,566.0,1470.0,False,
HpHp_L5_std,HpHp_std,0.0,44.137479014800036,671.7885056,False,
HpHp_L5_magnitude,HpHp_magnitude,95.26804291051644,566.0,1470.0,False,
HpHp_L5_radius,HpHp_radius,0.0,5158.70106235,451302.3026,False,
HpHp_L5_covariance,HpHp_covariance,0.0,2.880700000000652e-148,79723.36773,False,
HpHp_L5_pcc,HpHp_pcc,0.0,0.0,2.018352755,False,
HpHp_L3_weight,HpHp_weight,1.0,133.976111558275,369.91314855722834,False,
HpHp_L3_mean,HpHp_mean,74.0,566.0,1470.0,False,
HpHp_L3_std,HpHp_std,0.0,52.79352187790007,678.5786836,False,
HpHp_L3_magnitude,HpHp_magnitude,95.26804291051644,566.0,1470.0,False,
HpHp_L3_radius,HpHp_radius,0.0,7595.953513140351,473428.5722,False,
HpHp_L3_covariance,HpHp_covariance,0.0,1.030100000000093e-49,87820.21086,False,
HpHp_L3_pcc,HpHp_pcc,0.0,0.0,2.23507009,False,
HpHp_L1_weight,HpHp_weight,1.0,386.0921234866428,856.5991110536028,False,
HpHp_L1_mean,HpHp_mean,74.0,566.0,1470.0,False,
HpHp_L1_std,HpHp_std,0.0,67.62178921320007,679.0524809,False,
HpHp_L1_magnitude,HpHp_magnitude,95.26804291051644,566.0,1470.0,False,
HpHp_L1_radius,HpHp_radius,0.0,18199.03959880037,461114.076,False,
HpHp_L1_covariance,HpHp_covariance,0.0,3.390100000000093e-25,96189.22075,False,
HpHp_L1_pcc,HpHp_pcc,0.0,1.867453018107011e-17,2.488058673,False,
HpHp_L0.1_weight,HpHp_weight,1.020595504983553,3854.0148822117662,4593.456286671158,False,
HpHp_L0.1_mean,HpHp_mean,74.0,566.0,1470.0,False,
HpHp_L0.1_std,HpHp_std,0.0,97.54526440420018,685.6733339,False,
HpHp_L0.1_magnitude,HpHp_magnitude,95.26804291051644,566.0,1470.0,False,
HpHp_L0.1_radius,HpHp_radius,0.0,24671.81539500001,470149.0024,False,
HpHp_L0.1_covariance,HpHp_covariance,0.0,0.19936463426000034,99964.99804,False,
HpHp_L0.1_pcc,HpHp_pcc,0.0,0.0023434352400001127,2.751412236,False,
HpHp_L0.01_weight,HpHp_weight,1.6796926842025544,23358.28859606103,30006.33068639294,False,
HpHp_L0.01_mean,HpHp_mean,74.0,566.0,1470.0,False,
HpHp_L0.01_std,HpHp_std,0.0,153.491835073,656.1428985,False,
HpHp_L0.01_magnitude,HpHp_magnitude,95.26804291051644,566.0,1470.0,False,
HpHp_L0.01_radius,HpHp_radius,0.0,38019.168962900054,480237.0448,False,
HpHp_L0.01_covariance,HpHp_covariance,0.0,12.0797132707003,143864.1109,False,
HpHp_L0.01_pcc,HpHp_pcc,0.0,0.07968037523000036,2.80193282,False,
